name	cusip	firstyr	gvkey	lastyr	pdpco	pdpseq	begyr	endyr	match
"ACTION PERFORMANCE COS INC"	"004933"	1992	28182	2004	28182	1	1992	2004	
"SAFLINK CORP"	"786578"	1992	28184	2006	28184	1	1992	2006	1
"PEOPLES BANCTRUST INC"	"709796"	1993	28185	2006	28185	1	1993	2006	
"AZTEC ENERGY CORP/UT"	"054805"	1992	28187	1993	28187	1	1992	1993	
"CTL CREDIT INC"	"126435"	1992	28188	1995	28188	1	1992	1995	
"INTERLINQ SOFTWARE CORP"	"458753"	1992	28190	2002	28190	1	1992	2002	0
"ROYAL CARIBBEAN CRUISES LTD"	"V7780T"	1992	28191	2006	28191	1	1992	2006	
"ENCORE MARKETING INTL INC"	"292560"	1992	28193	1995	28193	1	1992	1995	
"POLYONE CORP"	"73179P"	1992	28194	2006	28194	1	1992	2006	1
"JABIL CIRCUIT INC"	"466313"	1992	28195	2006	28195	1	1992	2006	1
"CONCORD HEALTH GROUP INC"	"20624R"	1993	28196	1995	28196	1	1993	1995	
"OLD AMERICA STORES"	"679503"	1992	28197	1996	28197	1	1992	1996	
"ABSOLUTE ENTERTAINMENT INC"	"003863"	1992	28199	1994	28199	1	1992	1994	
"UNIZAN FINANCIAL CORP"	"91528W"	1993	28200	2004	28200	1	1993	2004	0
"ELECTRONIC RETAILNG SYS INTL"	"285825"	1992	28203	2000	28203	1	1992	2000	1
"RAMTRON INTERNATIONAL CORP"	"751907"	1989	28206	2006	28206	1	1989	2006	1
"EQUITABLE BAG CO INC  -CL A"	"29444J"	1992	28207	1993	28207	1	1992	1993	1
"ANIKA THERAPEUTICS INC"	"035255"	1992	28209	2006	28209	1	1992	2006	1
"FIDELITY NY F S B GARDEN CTY"	"316336"	1993	28211	1993	28211	1	1993	1993	
"INTERPOOL INC"	"46062R"	1992	28214	2006	28214	2	1992	2006	1
"MERCHANTS & MFRS BANCORP INC"	"588327"	1998	28215	2006	28215	1	1998	2006	
