pdpass	pdpco1	source	begyr1	gvkey1	endyr1	pdpco2	begyr2	gvkey2	endyr2	pdpco3	begyr3	gvkey3	endyr3	pdpco4	begyr4	gvkey4	endyr4	pdpco5	begyr5	gvkey5	endyr5
10667915	11098	"NBER"	1971	11098	1985																
10667917	10104	"PASS1"	1974	10104	1987	8358	1988	8358	2005												
10667983	5458	"PASS1"	1960	5458	2005																
10668012	10622	"MTCH1"	1975	10622	2005																
10669086	2931	"PASS1"	1960	2932	1973	2931	1982	2931	1983												
10669107	10511	"NBER"	1968	10511	1998																
10669292	2574	"NBER"	1968	2574	2006																
10669506	1894	"NBER"	1963	1894	1977																
10669530	5878	"NBER"	1962	5878	2006																
10670151	13919	"PASS1"	1986	13919	1987																
10670156	10251	"PASS1"	1974	10251	1984																
10670313	11282	"MTCH1"	1950	11282	1979																
10670354	5777	"PASS1"	1980	5777	1992	61988	1994	61988	2000	5229	2001	5229	2005								
10670476	9407	"PASS1"	1977	9407	1980																
10671463	7045	"NBER"	1973	7045	1999																
10671724	3761	"NBER"	1980	3761	2005																
10671981	7923	"NBER"	1963	7923	2006																
10672401	11224	"MTCH1"	1983	11224	1986																
10672497	2135	"NBER"	1950	2135	1996																
10672507	1833	"NBER"	1966	1833	1992																
10672599	10323	"NBER"	1960	10323	1996	2787	1998	2787	2005												
10672919	11274	"MTCH1"	1956	11274	1987																
10673072	21507	"PASS1"	1989	21507	2002	126734	2003	126734	2005												
10673179	5901	"PASS1"	1984	5901	2000																
10673196	24475	"m2006"	1990	24475	2006																
10673570	8479	"NBER"	1950	8479	2006																
10673747	3611	"NBER"	1962	3611	1978																
10673763	15127	"PASS1"	1989	15127	1994																
10673768	9705	"UPDT2"	1950	9705	1984	1300	1999	1300	2005												
10673998	9969	"MTCH1"	1984	9969	2006																
10674387	12870	"m2006"	1985	12870	1994	7182	1996	7182	1996	64961	1998	64961	1999								
10675855	10163	"MTCH1"	1950	10163	1998	10983	1999	10983	2005												
10675918	6363	"NBER"	1959	6363	1978																
10675983	8030	"NBER"	1960	8030	2006																
10675984	5883	"MTCH1"	1973	5883	1984																
10676785	144848	"PASS1"	1999	144848	2006																
10676828	5138	"NBER"	1974	5138	1989																
10676954	9236	"PHRM"	1961	9236	1996	13467	1997	13467	2006												
10677062	2519	"NBER"	1962	2519	2005																
10677150	8643	"MTCH1"	1963	8643	1988																
10677194	6046	"PASS1"	1980	6046	1994																
10677639	9913	"NBER"	1973	9913	1979																
10677779	10329	"NBER"	1977	10329	1996	3282	1997	3282	2001	5606	2002	5606	2005								
10677932	122317	"MTCH1"	1998	122317	2004																
10678067	147449	"MTCH1"	2000	147449	2006																
10678642	1976	"NBER"	1954	1976	2006																
10678773	7585	"NBER"	1950	7585	2006																
10679213	4074	"PASS1"	1973	4074	1987																
